date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:06	224/224	---MCZ	200	added ('OK')	text/plain	etag:W/%22627be8fc-1f9%22	https://new.novardis.com/robots.txt		(from )
12:52:08	260546/260546	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:06%20GMT	https://new.novardis.com/en/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/index.html	(from )
12:52:09	11368/11368	---M--	200	added ('OK')	image/png	etag:%22627815b2-2c68%22	https://new.novardis.com/banner.png	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/banner.png	(from https://new.novardis.com/en/)
12:52:11	88870/88870	---MCZ	200	added ('OK')	text/css	etag:W/%22628d543f-15b26%22	https://new.novardis.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-includes/css/dist/block-library/style.minf049.css	(from https://new.novardis.com/en/)
12:52:11	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Jun%202022%2007:22:11%20GMT	http://new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.min.css?ver=1	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.min.468b3.delayed	(from https://new.novardis.com/en/)
12:52:11	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%226276dc4a-aab%22	https://new.novardis.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/plugins/contact-form-7/includes/css/styles5406.css	(from https://new.novardis.com/en/)
12:52:12	908/908	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4645-38c%22	https://new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.min.css?ver=1	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.min68b3.css	(from https://new.novardis.com/en/)
12:52:12	242/242	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4645-f2%22	https://new.novardis.com/wp-content/themes/novardis/style.css?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/themes/novardis/style5152.css	(from https://new.novardis.com/en/)
12:52:12	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-31fb%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.css?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min5152.css	(from https://new.novardis.com/en/)
12:52:12	3201/3201	---M-Z	200	added ('OK')	text/css	etag:%225eb03ec2-c81%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-modal/0.9.1/jquery.modal.min.css?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/cdnjs.cloudflare.com/ajax/libs/jquery-modal/0.9.1/jquery.modal.min5152.css	(from https://new.novardis.com/en/)
12:52:13	21417/21417	---M-Z	200	added ('OK')	text/css	etag:%225eb03ced-53a9%22	https://cdnjs.cloudflare.com/ajax/libs/AlertifyJS/1.13.1/css/alertify.min.css?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/cdnjs.cloudflare.com/ajax/libs/AlertifyJS/1.13.1/css/alertify.min5152.css	(from https://new.novardis.com/en/)
12:52:13	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min5152.css	(from https://new.novardis.com/en/)
12:52:14	208382/208382	---M-Z	200	added ('OK')	application/javascript	etag:%226299e1ba-13710%22	https://mc.yandex.ru/metrika/tag.js	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/mc.yandex.ru/metrika/tag.js	(from https://new.novardis.com/en/)
12:52:15	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%22626a4645-15db1%22	https://new.novardis.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://new.novardis.com/en/)
12:52:15	395654/395654	---MCZ	200	added ('OK')	text/css	etag:W/%2262894a88-60986%22	https://new.novardis.com/wp-content/themes/novardis/assets/css/main.css?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/themes/novardis/assets/css/main5152.css	(from https://new.novardis.com/en/)
12:52:16	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%22626a4645-2bd8%22	https://new.novardis.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://new.novardis.com/en/)
12:52:16	226/226	---MCZ	200	added ('OK')	application/javascript	etag:W/%22626a4645-e2%22	https://new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookie.js?ver=4.5.5	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookie2cb6.js	(from https://new.novardis.com/en/)
12:52:16	2202/2202	---MCZ	200	added ('OK')	application/javascript	etag:W/%226284f7aa-89a%22	https://new.novardis.com/loadmore.js?ver=6.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/loadmoref049.js	(from https://new.novardis.com/en/)
12:52:19	179992/179992	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:17%20GMT	https://new.novardis.com/en/services/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/services/index.html	(from https://new.novardis.com/en/)
12:52:20	187290/187290	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:17%20GMT	https://new.novardis.com/en/solutions/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/solutions/index.html	(from https://new.novardis.com/en/)
12:52:20	207418/207418	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:18%20GMT	https://new.novardis.com/en/projects/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/index.html	(from https://new.novardis.com/en/)
12:52:20	600/600	---M--	200	added ('OK')	image/png	etag:%22626a4645-258%22	https://new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png	(from https://new.novardis.com/en/)
12:52:21	199038/199038	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:20%20GMT	https://new.novardis.com/en/company/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/company/index.html	(from https://new.novardis.com/en/)
12:52:21	192269/192269	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:20%20GMT	https://new.novardis.com/en/careers/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/careers/index.html	(from https://new.novardis.com/en/)
12:52:21	241/241	---M--	200	added ('OK')	image/png	etag:%22626a4645-f1%22	https://new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png	(from https://new.novardis.com/en/)
12:52:21	400268/400268	---M--	200	added ('OK')	image/png	etag:%22626a4645-61b8c%22	https://new.novardis.com/wp-content/uploads/2022/04/Main_Serv.png	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/uploads/2022/04/Main_Serv.png	(from https://new.novardis.com/en/)
12:52:21	205434/205434	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:20%20GMT	https://new.novardis.com/en/contacts/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/contacts/index.html	(from https://new.novardis.com/en/)
12:52:21	6475/6475	---MCZ	200	added ('OK')	application/javascript	etag:W/%22628d543f-194b%22	https://new.novardis.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://new.novardis.com/en/)
12:52:22	191064/191064	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:21%20GMT	https://new.novardis.com/en/industries/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/industries/index.html	(from https://new.novardis.com/en/)
12:52:24	180233/180233	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:21%20GMT	https://new.novardis.com/en/projects/?tag=fmcg	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/index3fd8.html	(from https://new.novardis.com/en/)
12:52:24	19142/19142	---MCZ	200	added ('OK')	application/javascript	etag:W/%22628d543f-4ac6%22	https://new.novardis.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://new.novardis.com/en/)
12:52:24	183357/183357	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:22%20GMT	https://new.novardis.com/en/projects/?tag=wholesale%20distribution	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/index2cd2.html	(from https://new.novardis.com/en/)
12:52:24	205012/205012	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:21%20GMT	https://new.novardis.com/en/projects/?tag=retail	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/indexf12c.html	(from https://new.novardis.com/en/)
12:52:25	9720/9720	---MCZ	200	added ('OK')	application/javascript	etag:W/%226276dc4a-25f8%22	https://new.novardis.com/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.5.6	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/wp-content/plugins/contact-form-7/includes/js/index5406.js	(from https://new.novardis.com/en/)
12:52:25	173963/173963	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:24%20GMT	https://new.novardis.com/en/projects/?tag=multilevel%20marketing	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/index4157.html	(from https://new.novardis.com/en/)
12:52:27	68253/68253	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e58-10a9d%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min5152.js	(from https://new.novardis.com/en/)
12:52:27	180480/180480	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:24%20GMT	https://new.novardis.com/en/projects/?tag=life%20sciences	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/indexc1a8.html	(from https://new.novardis.com/en/)
12:52:27	180272/180272	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:25%20GMT	https://new.novardis.com/en/projects/?tag=transportation%20and%20logistics	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/index4334.html	(from https://new.novardis.com/en/)
12:52:27	176866/176866	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:25%20GMT	https://new.novardis.com/en/projects/?tag=agribusiness	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/projects/index5d04.html	(from https://new.novardis.com/en/)
12:52:28	187441/187441	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:27%20GMT	https://new.novardis.com/en/service/development-of-solutions-for-the-clients-tasks/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/service/development-of-solutions-for-the-clients-tasks/index.html	(from https://new.novardis.com/en/)
12:52:28	190133/190133	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:27%20GMT	https://new.novardis.com/en/service/sap-solutions-implementation/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/service/sap-solutions-implementation/index.html	(from https://new.novardis.com/en/)
12:52:29	4953/4953	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-1359%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-modal/0.9.1/jquery.modal.min.js?ver=1.0	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/cdnjs.cloudflare.com/ajax/libs/jquery-modal/0.9.1/jquery.modal.min5152.js	(from https://new.novardis.com/en/)
12:52:29	187972/187972	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jun%202022%2007:22:28%20GMT	https://new.novardis.com/en/service/replication-of-sap-solutions/	C:/Users/ACSS/Documents/VV%20Duplicate/2/https___new.novardis.com_en_/new.novardis.com/en/service/replication-of-sap-solutions/index.html	(from https://new.novardis.com/en/)
